"Category","Column","Regex"
"Auto brandstof","Naam tegenpartij","(?i)(Shell|ESSO|Tango|Total)"
"Auto verzekering","Omschrijving-1","(?i)autoverzekering"
"Auto wegenbelasting","Omschrijving-1","AB-123-C"
"Bankkosten","Naam tegenpartij","^(Creditrente|Debetrente|Kosten)"
"Bankkosten","Omschrijving-1","^(Eff.nota Kwartaalafrek. beleggen)"
"Belastingen inkomsten","Naam tegenpartij","(?i)(Belastingdienst|BghU)"
"Hond verzorging","Naam tegenpartij","(?i)(Diebo|Welkoop|ZOOPLUS|OnlinePets|Pets Place|Jumper|Max en Luna)"
"Hond medische zorg","Naam tegenpartij","(?i)(Dierenkliniek|Petplan|Veterfina)"
"Horeca","Naam tegenpartij","(?i)(cafetaria|restaurant|brasserie|horeca|italiaans|grieks|herberg)"
"Huishouden","Naam tegenpartij","(?i)(Albert Heijn|Jumbo|Lidl|Gall|Kruidvat|Makro|Primera|Hornbach)"
